nflId,height,weight,birthDate,collegeName,officialPosition,displayName,Madden displayName,,College from Madden,Birth Date from Madden,Check College,Check Birth date,,
34465,6-0,204,20/12/1987,Ohio State,SS,Malcolm Jenkins,,,Ohio State,20/12/1987,True,True,,True
34472,06-Apr,311,19/11/1985,California,C,Alex Mack,,,California,19/11/1985,True,True,,True
34540,06-May,254,07/04/1987,South Carolina,TE,Jared Cook,,,South Carolina,07/04/1987,True,True,,True
34654,05-Nov,195,13/08/1987,Rutgers,FS,Jason McCourty,,,Rutgers,13/08/1987,True,True,,True
34777,06-Mar,310,03/01/1986,Troy,NT,Steve McLendon,,,Troy,03/01/1986,True,True,,True
34843,06-Feb,215,13/10/1985,Michigan State,QB,Brian Hoyer,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35441,06-Apr,313,06/01/1987,Nebraska,DE,Ndamukong Suh,,,Nebraska,06/01/1987,True,True,,True
35442,06-Apr,300,25/02/1988,Oklahoma,DT,Gerald McCoy,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35443,06-May,320,19/07/1988,Oklahoma,T,Trent Williams,,,Oklahoma,19/07/1988,True,True,,True
35446,05-Nov,195,14/04/1989,Florida,CB,Joe Haden,,,Florida,14/04/1989,True,True,,True
35449,06-Mar,304,12/05/1987,California,DE,Tyson Alualu,,,California,12/05/1987,True,True,,True
35452,06-Feb,265,03/04/1988,Michigan,DE,Brandon Graham,,,Michigan,03/04/1988,True,True,,True
35454,06-May,275,01/01/1989,South Florida,DE,Jason Pierre-Paul,,,USF,01/01/1989,False,True,,True
35459,05-Oct,185,10/04/1988,Alabama,SS,Kareem Jackson,,,Alabama,10/04/1988,True,True,,True
35462,06-May,314,21/03/1989,Iowa,T,Bryan Bulaga,,,Iowa,21/03/1989,True,True,,True
35466,05-Oct,195,13/08/1987,Rutgers,FS,Devin McCourty,,,Rutgers,13/08/1987,True,True,,True
35470,06-Feb,254,13/08/1988,Texas Christian,DE,Jerry Hughes,,,TCU,13/08/1988,False,True,,True
35472,06-May,325,06/06/1988,Indiana,G,Rodger Saffold,Rodger Saffold III,,#N/A,#N/A,#N/A,#N/A,Rodger Saffold III,Rodger Saffold III
35481,06-Jun,265,14/05/1989,Arizona,TE,Rob Gronkowski,,,Arizona,14/05/1989,True,True,,True
35485,06-Apr,329,10/10/1988,East Carolina,NT,Linval Joseph,,,East Carolina,10/10/1988,True,True,,True
35493,06-Jun,285,28/02/1989,Florida,OLB,Carlos Dunlap,Carlos Dunlap II,,#N/A,#N/A,#N/A,#N/A,Carlos Dunlap II,Carlos Dunlap II
35521,05-Nov,180,17/03/1987,Southern Methodist,WR,Emmanuel Sanders,,,SMU,17/03/1987,False,True,,True
35522,06-Mar,335,08/06/1988,Kentucky,DT,Corey Peters,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35527,05-Nov,195,09/01/1988,Citadel,WR,Andre Roberts,,,Citadel,09/01/1988,True,True,,True
35534,06-Jul,265,24/11/1986,Miami,TE,Jimmy Graham,,,Miami,24/11/1986,True,True,,True
35539,06-Mar,273,22/12/1987,Southern California,DE,Everson Griffen,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35562,06-Apr,330,25/03/1987,Louisiana State,DT,Al Woods,,,LSU,25/03/1987,False,True,,True
35634,05-Oct,185,07/10/1988,Central Michigan,WR,Antonio Brown,False,,Central Michigan,10/07/1988,True,False,,False
36712,06-Jan,210,09/09/1987,Rice,FS,Andrew Sendejo,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
36785,06-Aug,330,27/10/1985,Texas State,T,Ty Nsekhe,,,Texas State,27/10/1985,True,True,,True
37075,06-Mar,250,26/03/1989,Texas A&amp;M,OLB,Von Miller,,,Texas AM,26/03/1989,False,True,,True
37077,06-Apr,210,31/07/1988,Georgia,WR,A.J. Green,,,Georgia,31/07/1988,True,True,,True
37078,06-Jan,203,11/07/1990,Louisiana State,CB,Patrick Peterson,,,LSU,11/07/1990,False,True,,True
37079,06-Mar,220,08/02/1989,Alabama,WR,Julio Jones,,,Alabama,08/02/1989,True,True,,True
37082,06-May,320,12/12/1990,Southern California,T,Tyron Smith,,,USC,12/12/1990,False,True,,True
37083,06-Apr,235,15/10/1989,Missouri,QB,Blaine Gabbert,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37084,06-May,288,22/03/1989,Wisconsin,DE,J.J. Watt,,,Wisconsin,22/03/1989,True,True,,True
37087,06-Apr,257,18/05/1990,North Carolina,OLB,Robert Quinn,,,North Carolina,18/05/1990,True,True,,True
37089,06-Apr,265,16/08/1988,Purdue,DE,Ryan Kerrigan,,,Purdue,16/08/1988,True,True,,True
37090,06-Aug,325,12/04/1988,Colorado,T,Nate Solder,,,Colorado,12/04/1988,True,True,,True
37097,06-Apr,287,10/07/1989,California,DE,Cameron Jordan,,,California,10/07/1989,True,True,,True
37100,06-Feb,210,26/07/1988,Colorado,CB,Jimmy Smith,,,Colorado,26/07/1988,True,True,,True
37101,05-Sep,215,21/12/1989,Alabama,RB,Mark Ingram,Mark Ingram II,,#N/A,#N/A,#N/A,#N/A,Mark Ingram II,Mark Ingram II
37104,06-May,295,06/05/1989,Ohio State,DT,Cameron Heyward,,,Ohio State,06/05/1989,True,True,,True
37110,06-Feb,220,29/10/1987,Texas Christian,QB,Andy Dalton,,,TCU,29/10/1987,False,True,,True
37112,06-Mar,268,10/05/1989,Pittsburgh,DE,Jabaal Sheard,,,#N/A,#N/A,#N/A,#N/A,Tom Compton,Tom Compton
37118,06-Jun,265,09/11/1989,Notre Dame,TE,Kyle Rudolph,,,Notre Dame,09/11/1989,True,True,,True
37130,06-Feb,315,12/07/1989,Florida State,C,Rodney Hudson,,,Florida State,12/07/1989,True,True,,True
37139,05-Oct,192,22/08/1990,Kentucky,WR,Randall Cobb,,,Kentucky,22/08/1990,True,True,,True
37145,06-Mar,270,21/01/1989,Georgia,OLB,Justin Houston,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37174,06-Apr,246,23/07/1989,Mississippi State,OLB,K.J. Wright,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37179,06-May,253,17/07/1988,Tennessee,TE,Luke Stocker,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37200,6-0,195,26/07/1988,Eastern Washington,RB,Taiwan Jones,,,Eastern Wash.,26/07/1988,False,True,,True
37213,06-Jun,335,06/05/1988,Texas Christian,T,Marcus Cannon,,,TCU,06/05/1988,False,True,,True
37229,06-Mar,195,30/03/1988,Stanford,CB,Richard Sherman,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37234,06-Jun,265,21/11/1987,Marshall,TE,Lee Smith,,,Marshall,21/11/1987,True,True,,True
37240,06-Mar,265,17/12/1988,Mississippi State,OLB,Pernell McPhee,,,Mississippi St.,17/12/1988,False,True,,True
37255,06-Jan,215,03/08/1989,Virginia Tech,QB,Tyrod Taylor,,,Virginia Tech,03/08/1989,True,True,,True
37266,06-Mar,295,05/11/1987,Cincinnati,C,Jason Kelce,,,Cincinnati,05/11/1987,True,True,,True
37308,06-Apr,315,17/03/1990,Arizona State,DT,Lawrence Guy,,,Arizona St.,17/03/1990,False,True,,True
37317,6-0,225,05/07/1989,Southern California,MLB,Malcolm Smith,,,USC,05/07/1989,False,True,,True
37724,05-Oct,199,18/06/1989,Kansas,CB,Chris Harris,Chris Harris Jr,,#N/A,#N/A,#N/A,#N/A,Chris Harris Jr,Chris Harris Jr
37737,06-Jan,210,24/10/1987,"Monmouth, N.J.",WR,Chris Hogan,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37778,06-Jan,235,24/08/1989,Auburn,ILB,Josh Bynes,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37792,06-Jan,250,12/05/1989,Central Michigan,LB,Nick Bellore,,,Central Michigan,12/05/1989,True,True,,True
37841,06-Mar,260,06/09/1987,Troy,DE,Mario Addison,,,Troy,06/09/1987,True,True,,True
38538,06-Apr,207,27/07/1988,Texas A&amp;M,QB,Ryan Tannehill,,,Texas AM,27/07/1988,False,True,,True
38540,06-Jan,202,19/09/1990,South Carolina,CB,Stephon Gilmore,,,South Carolina,19/09/1990,True,True,,True
38542,06-Apr,310,13/12/1990,Mississippi State,DT,Fletcher Cox,,,Mississippi St.,13/12/1990,False,True,,True
38544,06-May,305,21/12/1990,Louisiana State,DE,Michael Brockers,,,LSU,21/12/1990,False,True,,True
38547,06-Feb,190,26/10/1989,Alabama,CB,Dre Kirkpatrick,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
38548,06-Feb,247,26/04/1989,South Carolina,OLB,Melvin Ingram,,,#N/A,#N/A,#N/A,#N/A,Cole Beasley,Cole Beasley
38551,06-May,265,27/02/1990,Syracuse,OLB,Chandler Jones,,,Syracuse,27/02/1990,True,True,,True
38553,06-Jun,305,01/12/1988,Iowa,T,Riley Reiff,,,Iowa,01/12/1988,True,True,,True
38555,06-Mar,260,12/03/1990,Alabama,OLB,Dont'a Hightower,,,Alabama,12/03/1990,True,True,,True
38556,06-Apr,258,21/07/1990,Illinois,DE,Whitney Mercilus,,,Illinois,21/07/1990,True,True,,True
38557,06-Apr,315,08/03/1990,Wisconsin,G,Kevin Zeitler,,,Wisconsin,08/03/1990,True,True,,True
38559,06-Feb,214,02/02/1989,Notre Dame,SS,Harrison Smith,,,Notre Dame,02/02/1989,True,True,,True
38569,05-Oct,190,29/10/1988,North Alabama,CB,Janoris Jenkins,,,N. Alabama,29/10/1988,False,True,,True
38577,6-0,242,27/06/1990,Utah State,MLB,Bobby Wagner,,,Utah State,27/06/1990,True,True,,True
38578,6-0,208,19/03/1990,Illinois,SS,Tavon Wilson,,,Illinois,19/03/1990,True,True,,True
38588,06-Jan,233,23/01/1990,Nebraska,ILB,Lavonte David,,,Nebraska,23/01/1990,True,True,,True
38592,05-Nov,192,09/09/1989,Vanderbilt,CB,Casey Hayward,Casey Hayward Jr,,#N/A,#N/A,#N/A,#N/A,Casey Hayward Jr,Casey Hayward Jr
38605,05-Nov,215,29/11/1988,Wisconsin,QB,Russell Wilson,,,Wisconsin,29/11/1988,True,True,,True
38606,06-May,335,19/08/1989,"Miami, O.",G,Brandon Brooks,,,Miami Univ.,19/08/1989,False,True,,True
38607,06-Feb,248,11/01/1989,Arkansas State,ILB,Demario Davis,,,Arkansas St.,11/01/1989,False,True,,True
38613,06-Feb,215,22/08/1989,Rutgers,WR,Mohamed Sanu,Mohamed Sanu Sr,,#N/A,#N/A,#N/A,#N/A,Mohamed Sanu Sr,Mohamed Sanu Sr
38619,06-Apr,352,16/11/1989,"Regina, Can.",DT,Akiem Hicks,,,Regina,16/11/1989,False,True,,True
38622,05-Oct,183,14/11/1989,Florida International,WR,T.Y. Hilton,,,FIU,14/11/1989,False,True,,True
38629,06-Mar,308,02/07/1989,Georgia,C,Ben Jones,,,Georgia,02/07/1989,True,True,,True
38630,05-Oct,175,29/12/1989,Miami,WR,Travis Benjamin,,,Miami,29/12/1989,True,True,,True
38632,06-Mar,202,19/08/1988,Michigan State,QB,Kirk Cousins,,,Michigan St.,19/08/1988,False,True,,True
38642,06-Jun,325,01/08/1989,Mississippi,T,Bobby Massie,,,Ole Miss,01/08/1989,False,True,,True
38667,06-May,290,11/01/1990,Tennessee,DT,Malik Jackson,,,Tennessee,11/01/1990,True,True,,True
38673,6-0,200,15/12/1987,Coastal Carolina,CB,Josh Norman,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
38681,06-Mar,300,10/05/1990,Washington,G,Senio Kelemete,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
38696,06-Feb,198,12/03/1990,California,WR,Marvin Jones,,,#N/A,#N/A,#N/A,#N/A,Dont'a Hightower,Dont'a Hightower
38707,6-0,200,17/06/1990,Presbyterian,FS,Justin Bethel,,,Presbyterian,17/06/1990,True,True,,True
38718,6-0,239,24/03/1990,Kentucky,ILB,Danny Trevathan,,,Kentucky,24/03/1990,True,True,,True
38779,06-Mar,308,08/06/1989,Southern Methodist,T,Kelvin Beachum,Kelvin Beachum Jr,,#N/A,#N/A,#N/A,#N/A,Kelvin Beachum Jr,Kelvin Beachum Jr
38843,05-Oct,195,23/06/1990,Virginia,FS,Rodney McLeod,Rodney McLeod Jr,,#N/A,#N/A,#N/A,#N/A,Rodney McLeod Jr,Rodney McLeod Jr
38868,06-Jan,212,07/08/1990,Wyoming,FS,Tashaun Gipson,Tashaun Gipson Sr,,#N/A,#N/A,#N/A,#N/A,Tashaun Gipson Sr,Tashaun Gipson Sr
38937,06-Jan,215,17/02/1988,Houston,QB,Case Keenum,,,Houston,17/02/1988,True,True,,True
38947,05-Aug,174,26/04/1989,Southern Methodist,WR,Cole Beasley,,,SMU,26/04/1989,False,True,,True
39008,06-Jan,230,02/09/1990,Wagner,OLB,Julian Stanford,,,Wagner College,02/09/1990,False,True,,True
39109,06-Mar,240,25/07/1990,Beloit,TE,Derek Carrier,,,Beloit College,25/07/1990,False,True,,True
39146,06-May,310,11/04/1989,Oregon State,T,Mike Remmers,,,Oregon State,11/04/1989,True,True,,True
39212,05-Nov,220,26/01/1990,Mississippi,RB,Brandon Bolden,,,Ole Miss,26/01/1990,False,True,,True
39646,06-Mar,225,13/04/1991,Utah,WR,Josh Gordon,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39684,06-Mar,305,26/02/1990,Pennsylvania,G,Greg Van Roten,,,Penn,26/02/1990,False,True,,True
39907,06-Jul,270,22/04/1986,California-Irvine,TE,Darren Fells,,,UC Irvine,22/04/1986,False,True,,True
39908,06-Feb,220,02/04/1990,"California, Pa.",FS,Erik Harris,,,California,02/04/1990,False,True,,True
39941,05-Oct,207,26/02/1990,Southern Methodist,FS,Chris Banjo,,,SMU,26/02/1990,False,True,,True
39947,06-Jul,315,05/01/1991,Central Michigan,T,Eric Fisher,,,Central Michigan,05/01/1991,True,True,,True
39950,06-Jun,317,08/05/1990,Oklahoma,T,Lane Johnson,,,Oklahoma,08/05/1990,True,True,,True
39954,05-Aug,179,15/03/1990,West Virginia,WR,Tavon Austin,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39959,06-Mar,294,29/11/1990,Missouri,DT,Sheldon Richardson,,,Missouri,29/11/1990,True,True,,True
39960,06-Feb,318,20/12/1989,Utah,DT,Star Lotulelei,,,Utah,20/12/1989,True,True,,True
39965,06-May,311,15/08/1990,Syracuse,G,Justin Pugh,,,Syracuse,15/08/1990,True,True,,True
39968,6-0,190,10/09/1990,Washington,CB,Desmond Trufant,,,Washington,10/09/1990,True,True,,True
39971,06-Jan,218,19/06/1990,Florida State,CB,Xavier Rhodes,,,Florida State,19/06/1990,True,True,,True
39973,06-Jan,212,06/06/1992,Clemson,WR,DeAndre Hopkins,,,Clemson,06/06/1992,True,True,,True
39975,06-Feb,238,17/03/1991,Tennessee,RB,Cordarrelle Patterson,,,Tennessee,17/03/1991,True,True,,True
39976,06-Feb,235,25/09/1991,Georgia,ILB,Alec Ogletree,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39983,06-May,250,10/11/1990,Stanford,TE,Zach Ertz,,,Stanford,10/11/1990,True,True,,True
39984,6-0,190,01/01/1991,Mississippi State,CB,Darius Slay,Darius Slay Jr,,#N/A,#N/A,#N/A,#N/A,Darius Slay Jr,Darius Slay Jr
39985,05-Sep,205,22/11/1991,North Carolina,RB,Giovani Bernard,,,North Carolina,22/11/1991,True,True,,True
39987,06-Mar,221,10/10/1990,West Virginia,QB,Geno Smith,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39989,6-0,193,10/04/1992,Southern California,WR,Robert Woods,,,USC,10/04/1992,False,True,,True
39993,6-0,246,03/12/1990,Louisiana State,ILB,Kevin Minter,,,LSU,03/12/1990,False,True,,True
39996,06-Jan,225,18/02/1992,Michigan State,RB,Le'Veon Bell,,,#N/A,#N/A,#N/A,#N/A,Jaquiski Tartt,Jaquiski Tartt
39997,06-Mar,340,30/03/1992,Ohio State,NT,Johnathan Hankins,,,Ohio State,30/03/1992,True,True,,True
39998,06-Jan,245,05/05/1991,Florida,OLB,Jon Bostic,,,Florida,05/05/1991,True,True,,True
40000,06-Mar,255,20/10/1989,Southern Mississippi,OLB,Jamie Collins,,,Southern Miss,20/10/1989,False,True,,True
40001,06-Aug,295,14/07/1987,Southern Methodist,DT,Margus Hunt,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40008,05-Oct,186,01/11/1988,Southeastern Louisiana,CB,Robert Alford,,,SE Louisiana,01/11/1988,False,True,,True
40011,06-May,260,05/10/1989,Cincinnati,TE,Travis Kelce,,,Cincinnati,05/10/1989,True,True,,True
40017,05-Sep,190,13/05/1992,Louisiana State,SS,Tyrann Mathieu,,,LSU,13/05/1992,False,True,,True
40020,06-Apr,320,10/07/1991,Kent State,G,Brian Winters,,,Kent State,16/07/1991,True,False,,False
40021,06-Jul,225,12/12/1989,North Carolina State,QB,Mike Glennon,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40023,06-May,304,23/07/1991,Arkansas-Pine Bluff,T,Terron Armstead,,,Arkansas P.B.,23/07/1991,False,True,,True
40024,06-Feb,211,27/04/1992,California,WR,Keenan Allen,,,California,27/04/1992,True,True,,True
40026,05-Sep,179,19/11/1990,Texas,WR,Marquise Goodwin,,,Texas,19/11/1990,True,True,,True
40030,06-Mar,327,11/07/1989,Georgia,NT,John Jenkins,,,Georgia,11/07/1989,True,True,,True
40031,05-Nov,195,09/02/1991,Rutgers,FS,Logan Ryan,,,Rutgers,09/02/1991,True,True,,True
40039,06-Jan,205,24/01/1991,Rutgers,SS,Duron Harmon,,,Rutgers,24/01/1991,True,True,,True
40042,06-Jan,336,21/02/1989,Missouri Southern,NT,Brandon Williams,,,Missouri So. State,21/02/1989,False,True,,True
40051,06-Apr,260,08/02/1991,Texas,DE,Alex Okafor,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40070,06-Apr,307,12/02/1991,Cornell,C,J.C. Tretter,JC Tretter,,#N/A,#N/A,#N/A,#N/A,JC Tretter,JC Tretter
40074,06-Jun,281,31/07/1991,Michigan State,DE,William Gholston,,,Michigan St.,31/07/1991,False,True,,True
40077,06-Feb,260,14/10/1990,Ohio State,DE,John Simon,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40078,06-Jan,240,23/04/1991,Harvard,FB,Kyle Juszczyk,,,Harvard,23/04/1991,True,True,,True
40089,06-May,315,05/06/1991,Virginia,G,Oday Aboushi,,,Virginia,05/06/1991,True,True,,True
40092,06-Jan,202,22/04/1992,Oklahoma,WR,Kenny Stills,,,#N/A,#N/A,#N/A,#N/A,Eric Tomlinson,Eric Tomlinson
40095,06-Mar,263,16/09/1990,Buffalo,OLB,Steven Means,,,Buffalo,16/09/1990,True,True,,True
40096,06-Jan,240,30/07/1991,Iowa State,OLB,A.J. Klein,,,Iowa State,30/07/1991,True,True,,True
40107,6-0,197,31/12/1990,Iowa,FS,Micah Hyde,,,Iowa,31/12/1990,True,True,,True
40124,06-May,310,24/08/1990,San Jose State,G,David Quessenberry,,,San Jose St.,24/08/1990,False,True,,True
40129,06-Mar,230,18/01/1990,Central Florida,RB,Latavius Murray,,,UCF,21/02/1991,False,False,,False
40138,05-Oct,215,02/07/1990,Nebraska,RB,Rex Burkhead,,,Nebraska,02/07/1990,True,True,,True
40149,06-Jun,255,11/01/1990,Connecticut,TE,Ryan Griffin,,,Connecticut,11/01/1990,True,True,,True
40151,06-Apr,319,27/05/1991,Colorado State-Pueblo,C,Ryan Jensen,,,CSU-Pueblo,27/05/1991,False,True,,True
40166,6-0,191,25/04/1991,Oregon State,SS,Jordan Poyer,,,Oregon State,25/04/1991,True,True,,True
40171,06-Apr,309,21/02/1990,Samford,DE,Nicholas Williams,Nick Williams,,#N/A,#N/A,#N/A,#N/A,Nick Williams,Nick Williams
40253,06-Mar,249,26/08/1990,Florida,DE,Lerentee McCray,,,Florida,26/08/1990,True,True,,True
40347,06-Mar,328,20/04/1991,Wyoming,NT,Mike Purcell,,,Wyoming,20/04/1991,True,True,,True
40353,06-Feb,196,02/10/1989,Northern Illinois,CB,Rashaan Melvin,,,N. Illinois,02/10/1989,False,True,,True
40416,06-Apr,295,23/04/1991,Alabama-Birmingham,T,Christopher Hubbard,,,#N/A,#N/A,#N/A,#N/A,Kyle Juszczyk,Kyle Juszczyk
40463,06-Mar,263,02/07/1991,Pennsylvania,OLB,Brandon Copeland,,,Penn,02/07/1991,False,True,,True
40488,06-Feb,200,22/08/1990,Minn. State-Mankato,WR,Adam Thielen,,,Minnesota State,22/08/1990,False,True,,True
40608,06-Feb,293,06/02/1989,Alabama,NT,Damion Square,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40615,06-Jul,230,29/07/1991,Wisconsin-Milwaukee,TE,Demetrius Harris,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40621,06-Jan,215,15/11/1990,Kansas,SS,Bradley McDougald,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40641,06-Jun,262,05/05/1990,Western Kentucky,TE,Jack Doyle,,,W. Kentucky,05/05/1990,False,True,,True
40688,6-0,191,16/08/1991,Central Florida,CB,A.J. Bouye,,,UCF,16/08/1991,False,True,,True
40825,06-Mar,265,03/08/1991,Idaho,OLB,Benson Mayowa,,,Idaho,03/08/1991,True,True,,True
41069,06-Feb,300,05/06/1989,Iowa,C,James Ferentz,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
41222,06-Sep,320,22/09/1988,Army,T,Alejandro Villanueva,,,Army,22/09/1988,True,True,,True
41227,06-May,255,14/02/1993,South Carolina,DE,Jadeveon Clowney,,,South Carolina,14/02/1993,True,True,,True
41230,06-Jan,211,14/06/1993,Clemson,WR,Sammy Watkins,,,Clemson,14/06/1993,True,True,,True
41231,06-Mar,269,22/02/1991,Buffalo,OLB,Khalil Mack,,,Buffalo,22/02/1991,True,True,,True
41232,06-May,309,11/02/1992,Texas A&amp;M,T,Jake Matthews,,,Texas AM,11/02/1992,False,True,,True
41233,06-May,231,21/08/1993,Texas A&amp;M,WR,Mike Evans,,,Texas AM,21/08/1993,False,True,,True
41235,06-May,255,18/03/1992,UCLA,OLB,Anthony Barr,,,UCLA,18/03/1992,True,True,,True
41236,06-Apr,253,10/04/1993,North Carolina,TE,Eric Ebron,,,North Carolina,10/04/1993,True,True,,True
41237,06-Jul,309,22/07/1991,Michigan,T,Taylor Lewan,,,Michigan,22/07/1991,True,True,,True
41238,05-Nov,198,05/11/1992,Louisiana State,WR,Odell Beckham,Odell Beckham Jr,,#N/A,#N/A,#N/A,#N/A,Odell Beckham Jr,Odell Beckham Jr
41239,06-Jan,280,23/05/1991,Pittsburgh,DT,Aaron Donald,,,Pittsburgh,23/05/1991,True,True,,True
41240,05-Nov,194,16/02/1992,Virginia Tech,CB,Kyle Fuller,,,Virginia Tech,16/02/1992,True,True,,True
41242,06-Apr,315,20/11/1990,Notre Dame,G,Zack Martin,,,Notre Dame,20/11/1990,True,True,,True
41243,06-Feb,250,19/06/1992,Alabama,ILB,C.J. Mosley,,,Alabama,19/06/1992,True,True,,True
41246,05-Oct,183,25/09/1993,Oregon State,WR,Brandin Cooks,,,Oregon State,25/09/1993,True,True,,True
41249,06-Feb,252,19/03/1991,Auburn,DE,Dee Ford,,,Auburn,19/03/1991,True,True,,True
41251,05-Oct,188,18/06/1991,Texas Christian,CB,Jason Verrett,,,TCU,18/06/1991,False,True,,True
41256,05-Nov,193,18/07/1991,Northern Illinois,FS,Jimmie Ward,,,N. Illinois,18/07/1991,False,True,,True
41257,05-Nov,194,01/05/1992,Ohio State,CB,Bradley Roby,,,Ohio State,01/05/1992,True,True,,True
41258,06-Feb,215,10/11/1992,Louisville,QB,Teddy Bridgewater,,,Louisville,10/11/1992,True,True,,True
41262,06-Apr,310,01/01/1991,UCLA,G,Xavier Su'a-Filo,,,UCLA,01/01/1991,True,True,,True
41263,06-Mar,265,28/04/1992,Boise State,DE,Demarcus Lawrence,,,Boise State,28/04/1992,True,True,,True
41264,06-Apr,320,11/10/1991,Nevada,G,Joel Bitonio,,,Nevada,11/10/1991,True,True,,True
41265,06-Mar,210,28/03/1991,Fresno State,QB,Derek Carr,,,Fresno State,28/03/1991,True,True,,True
41269,06-Mar,250,26/03/1991,Brigham Young,OLB,Kyle Van Noy,,,BYU,26/03/1991,False,True,,True
41270,05-Aug,185,27/11/1990,Florida State,SS,Lamarcus Joyner,,,Florida State,27/11/1990,True,True,,True
41279,06-Mar,252,17/01/1993,Georgia Tech,OLB,Jeremiah Attaochu,,,Georgia Tech,17/01/1993,True,True,,True
41282,06-Jan,215,24/12/1992,Fresno State,WR,Davante Adams,,,Fresno State,24/12/1992,True,True,,True
41286,6-0,229,20/09/1990,Ohio State,RB,Carlos Hyde,,,Ohio State,20/09/1990,True,True,,True
41290,06-Feb,220,24/08/1993,Penn State,WR,Allen Robinson,Allen Robinson II,,#N/A,#N/A,#N/A,#N/A,Allen Robinson II,Allen Robinson II
41291,06-Feb,225,02/11/1991,Eastern Illinois,QB,Jimmy Garoppolo,,,E. Illinois,02/11/1991,False,True,,True
41292,05-Nov,196,28/11/1992,Louisiana State,WR,Jarvis Landry,,,LSU,28/11/1992,False,True,,True
41293,06-Jun,315,29/05/1991,Missouri,C,Justin Britt,,,Missouri,29/05/1991,True,True,,True
41295,06-Jun,330,03/03/1991,Virginia,T,Morgan Moses,,,Virginia,03/03/1991,True,True,,True
41296,06-May,310,17/10/1991,North Dakota State,T,Billy Turner,,,North Dakota St.,17/10/1991,False,True,,True
41300,06-Feb,235,31/08/1992,Iowa,OLB,Christian Kirksey,,,Iowa,31/08/1992,True,True,,True
