,nflId,height,weight,birthDate,collegeName,position,displayName,updatedName,nopunctuationname,updatedName2
23,2555415,76,254,1994-10-29,Stanford,TE,Austin Hooper,Austin Hooper,Austin Hooper,Austin Hooper
24,2558023,77,253,1994-05-01,Drake,TE,Eric Saubert,Eric Saubert,Eric Saubert,Eric Saubert
25,79848,72,204,1987-12-20,Ohio State,SS,Malcolm Jenkins,Malcolm Jenkins,Malcolm Jenkins,Malcolm Jenkins
26,2534832,70,195,1990-06-23,Virginia,FS,Rodney McLeod,Rodney McLeod Jr,Rodney McLeod Jr,Rodney McLeod Jr
27,2552315,73,236,1992-06-27,Texas,MLB,Jordan Hicks,Jordan Hicks,Jordan Hicks,Jordan Hicks
28,2552689,71,193,1994-01-02,Florida State,CB,Ronald Darby,Ronald Darby,Ronald Darby,Ronald Darby
29,2555383,72,191,1994-04-06,Louisiana State,CB,Jalen Mills,Jalen Mills,Jalen Mills,Jalen Mills
30,2556363,74,230,1994-05-16,Eastern Illinois,OLB,Kamu Grugier-Hill,Kamu Grugier-Hill,Kamu GrugierHill,Kamu Grugier-Hill
31,2558175,74,230,1995-02-23,Nebraska,LB,Nate Gerry,Nate Gerry,Nate Gerry,Nate Gerry
32,2543583,68,206,1992-03-15,Florida State,RB,Devonta Freeman,Devonta Freeman,Devonta Freeman,Devonta Freeman
33,2552418,70,192,1991-12-18,East Carolina,WR,Justin Hardy,Justin Hardy,Justin Hardy,Justin Hardy
34,2557034,70,190,1993-04-10,Washington,WR,Marvin Hall,Marvin Hall,Marvin Hall,Marvin Hall
35,2560854,73,190,1994-12-20,Alabama,WR,Calvin Ridley,Calvin Ridley,Calvin Ridley,Calvin Ridley
36,2557958,72,181,1996-05-21,Washington,CB,Sidney Jones,Sidney Jones IV,Sidney Jones IV,Sidney Jones IV
37,2533040,74,215,1989-08-22,Rutgers,WR,Mohamed Sanu,Mohamed Sanu Sr,Mohamed Sanu Sr,Mohamed Sanu Sr
38,2495613,6-0,196,1985-07-25,New Hampshire,FS,Corey Graham,Corey Graham,Corey Graham,Corey Graham
39,2561132,74,215,1995-08-02,Yale,LB,Foye Oluokun,Foye Oluokun,Foye Oluokun,Foye Oluokun
40,2558258,71,191,1995-03-20,West Virginia,WR,Shelton Gibson,Shelton Gibson,Shelton Gibson,Shelton Gibson
41,2559033,72,233,1994-04-15,Oregon State,FB,Ricky Ortiz,Ricky Ortiz,Ricky Ortiz,Ricky Ortiz
42,2559109,74,205,1994-07-12,Kansas State,CB,Deante Burton,Deante Burton,Deante Burton,Deante Burton
43,2539291,5-11,185,1991-07-02,Oregon State,WR,Markus Wheaton,Markus Wheaton,Markus Wheaton,Markus Wheaton
44,2558168,74,209,1995-08-29,West Virginia,CB,Rasul Douglas,Rasul Douglas,Rasul Douglas,Rasul Douglas
45,2555461,70,208,1994-01-20,West Virginia,RB,Wendell Smallwood,Wendell Smallwood,Wendell Smallwood,Wendell Smallwood
46,79607,71,210,1988-07-12,Pittsburgh,RB,LeSean McCoy,LeSean McCoy,LeSean McCoy,LeSean McCoy
47,2495139,75,246,1989-02-13,Tulsa,TE,Charles Clay,Charles Clay,Charles Clay,Charles Clay
48,2495189,5-9,188,1988-08-11,Texas Christian,WR,Jeremy Kerley,Jeremy Kerley,Jeremy Kerley,Jeremy Kerley
49,2543471,6-5,245,1991-05-02,Florida State,WR,Kelvin Benjamin,Kelvin Benjamin,Kelvin Benjamin,Kelvin Benjamin
50,2557863,74,200,1995-03-30,East Carolina,WR,Zay Jones,Zay Jones,Zay Jones,Zay Jones
51,2558191,74,225,1994-05-04,Pittsburgh,QB,Nathan Peterman,Nathan Peterman,Nathan Peterman,Nathan Peterman
52,4365,72,210,1986-05-19,Grand Valley State,CB,Brandon Carr,Brandon Carr,Brandon Carr,Brandon Carr
53,2495775,5-11,195,1985-04-01,Utah,FS,Eric Weddle,Eric Weddle,Eric Weddle,Eric Weddle
54,2540164,71,211,1992-01-27,Oklahoma,SS,Tony Jefferson,Tony Jefferson,Tony Jefferson,Tony Jefferson
55,2543464,74,250,1992-06-19,Alabama,ILB,C.J. Mosley,C.J. Mosley,CJ Mosley,C.J. Mosley
56,2552279,76,272,1992-09-08,Kentucky,OLB,Za'Darius Smith,Za'Darius Smith,ZaDarius Smith,Za'Darius Smith
57,2555378,69,185,1994-03-14,Temple,CB,Tavon Young,Tavon Young,Tavon Young,Tavon Young
58,2555505,75,261,1992-08-15,Grand Valley State,OLB,Matt Judon,Matt Judon,Matt Judon,Matt Judon
59,2558067,72,197,1996-07-08,Alabama,CB,Marlon Humphrey,Marlon Humphrey,Marlon Humphrey,Marlon Humphrey
60,2506268,73,245,1983-05-31,California,OLB,Lorenzo Alexander,Lorenzo Alexander,Lorenzo Alexander,Lorenzo Alexander
61,2539240,72,197,1990-12-31,Iowa,SS,Micah Hyde,Micah Hyde,Micah Hyde,Micah Hyde
62,2539290,72,191,1991-04-25,Oregon State,FS,Jordan Poyer,Jordan Poyer,Jordan Poyer,Jordan Poyer
63,2543851,72,193,1991-04-04,Rice,CB,Phillip Gaines,Phillip Gaines,Phillip Gaines,Phillip Gaines
64,2557867,71,192,1995-01-16,Louisiana State,CB,Tre'Davious White,Tre'Davious White,TreDavious White,Tre'Davious White
65,2557969,72,223,1994-07-28,Boston College,OLB,Matt Milano,Matt Milano,Matt Milano,Matt Milano
66,2560713,77,250,1998-05-02,Virginia Tech,LB,Tremaine Edmunds,Tremaine Edmunds,Tremaine Edmunds,Tremaine Edmunds
67,382,78,245,1985-01-16,Delaware,QB,Joe Flacco,Joe Flacco,Joe Flacco,Joe Flacco
68,71269,6-1,215,1987-09-14,Texas Tech,WR,Michael Crabtree,Michael Crabtree,Michael Crabtree,Michael Crabtree
69,2543847,71,179,1990-04-03,Pittsburg State,WR,John Brown,John Brown,John Brown,John Brown
70,2552402,76,270,1993-02-17,Delaware,TE,Nick Boyle,Nick Boyle,Nick Boyle,Nick Boyle
71,2552468,76,252,1994-04-12,Minnesota,TE,Maxx Williams,Maxx Williams,Maxx Williams,Maxx Williams
72,2555430,5-10,208,1994-08-26,Arkansas,RB,Alex Collins,Alex Collins,Alex Collins,Alex Collins
73,2560766,71,192,1996-07-27,Weber State,CB,Taron Johnson,Taron Johnson,Taron Johnson,Taron Johnson
74,2550256,71,205,1992-10-17,Ball State,WR,Willie Snead,Willie Snead IV,Willie Snead IV,Willie Snead IV
75,2552631,72,218,1991-08-27,Southern California,RB,Javorius Allen,Javorius Allen,Javorius Allen,Javorius Allen
76,2560729,74,196,1994-05-07,Alabama,WR,Robert Foster,Robert Foster,Robert Foster,Robert Foster
77,2505660,75,265,1982-10-11,Arizona State,OLB,Terrell Suggs,Terrell Suggs,Terrell Suggs,Terrell Suggs
78,2558990,75,311,1994-05-27,Maine,FB,Patrick Ricard,Patrick Ricard,Patrick Ricard,Patrick Ricard
79,2508004,71,207,1987-03-27,Tennessee State,DB,Anthony Levine,Anthony Levine Sr,Anthony Levine Sr,Anthony Levine Sr
80,2555209,73,200,1993-06-16,Cincinnati,WR,Chris Moore,Chris Moore,Chris Moore,Chris Moore
81,2495453,6-4,210,1988-06-16,Hillsdale,WR,Andre Holmes,Andre Holmes,Andre Holmes,Andre Holmes
82,2543767,78,250,1991-07-01,Virginia Tech,TE,Logan Thomas,Logan Thomas,Logan Thomas,Logan Thomas
83,2559159,77,246,1994-02-28,Tennessee,TE,Jason Croom,Jason Croom,Jason Croom,Jason Croom
84,2556642,72,227,1992-08-22,Portland State,ILB,Patrick Onwuasor,Patrick Onwuasor,Patrick Onwuasor,Patrick Onwuasor
85,2558248,72,205,1995-04-19,Virginia Tech,FS,Chuck Clark,Chuck Clark,Chuck Clark,Chuck Clark
86,2507817,5-11,205,1987-12-05,South Carolina State,SS,Rafael Bush,Rafael Bush,Rafael Bush,Rafael Bush
87,2557841,75,244,1993-11-12,Alabama,OLB,Tim Williams,Tim Williams,Tim Williams,Tim Williams
88,2560947,73,235,1994-11-15,UCLA,LB,Kenny Young,Kenny Young,Kenny Young,Kenny Young
89,2552647,69,195,1991-10-03,Missouri,RB,Marcus Murphy,Marcus Murphy,Marcus Murphy,Marcus Murphy
90,2558166,75,240,1995-05-23,Houston,OLB,Tyus Bowser,Tyus Bowser,Tyus Bowser,Tyus Bowser
91,2560957,77,255,1995-09-06,Oklahoma,TE,Mark Andrews,Mark Andrews,Mark Andrews,Mark Andrews
92,2507999,6-0,223,1988-03-22,Tiffin University,RB,Chris Ivory,Chris Ivory,Chris Ivory,Chris Ivory
93,2560955,77,237,1996-05-21,Wyoming,QB,Josh Allen,Josh Allen,Josh Allen,Josh Allen
94,2555229,70,228,1994-01-21,Louisiana Tech,RB,Kenneth Dixon,Kenneth Dixon,Kenneth Dixon,Kenneth Dixon
95,2560757,74,212,1997-01-07,Louisville,QB,Lamar Jackson,Lamar Jackson,Lamar Jackson,Lamar Jackson
96,2561485,5-10,173,1993-11-20,Rutgers,WR,Janarion Grant,Janarion Grant,Janarion Grant,Janarion Grant
97,2560963,71,178,1994-11-30,Alabama,CB,Anthony Averett,Anthony Averett,Anthony Averett,Anthony Averett
98,2555178,73,193,1994-05-26,Virginia,CB,Maurice Canady,Maurice Canady,Maurice Canady,Maurice Canady
99,2561301,74,230,1995-07-23,North Dakota State,LB,Chris Board,Chris Board,Chris Board,Chris Board
100,2506109,77,240,1982-03-02,"Miami, O.",QB,Ben Roethlisberger,Ben Roethlisberger,Ben Roethlisberger,Ben Roethlisberger
101,2508061,5-10,185,1988-10-07,Central Michigan,WR,Antonio Brown,Antonio Brown,Antonio Brown,Antonio Brown
102,2540151,6-4,203,1991-05-20,Tennessee,WR,Justin Hunter,Justin Hunter,Justin Hunter,Justin Hunter
103,2552633,79,250,1994-06-04,Penn State,TE,Jesse James,Jesse James,Jesse James,Jesse James
104,2557978,73,233,1995-05-05,Pittsburgh,RB,James Conner,James Conner,James Conner,James Conner
105,2558149,73,215,1996-11-22,Southern California,WR,JuJu Smith-Schuster,JuJu Smith-Schuster,JuJu SmithSchuster,JuJu Smith-Schuster
106,2539311,75,255,1989-10-20,Southern Mississippi,OLB,Jamie Collins,Jamie Collins Sr,Jamie Collins Sr,Jamie Collins Sr
107,2543637,71,190,1992-05-17,Oregon,CB,Terrance Mitchell,Terrance Mitchell,Terrance Mitchell,Terrance Mitchell
108,2552389,71,196,1992-08-29,Arizona State,CB,Damarious Randall,Damarious Randall,Damarious Randall,Damarious Randall
109,2555166,73,245,1993-11-06,Wisconsin,MLB,Joe Schobert,Joe Schobert,Joe Schobert,Joe Schobert
110,2555540,70,210,1993-12-15,Texas Christian,SS,Derrick Kindred,Derrick Kindred,Derrick Kindred,Derrick Kindred
111,2556475,69,193,1993-01-21,Minnesota,CB,Briean Boddy-Calhoun,Briean Boddy-Calhoun,Briean BoddyCalhoun,Briean Boddy-Calhoun
112,2560916,71,191,1997-04-28,Ohio State,CB,Denzel Ward,Denzel Ward,Denzel Ward,Denzel Ward
113,2560920,71,213,1996-04-02,Oklahoma State,WR,James Washington,James Washington,James Washington,James Washington
114,2560964,72,250,1995-04-26,Memphis,LB,Genard Avery,Genard Avery,Genard Avery,Genard Avery
115,496727,73,210,1989-01-13,Georgia Tech,SS,Morgan Burnett,Morgan Burnett,Morgan Burnett,Morgan Burnett
116,496733,71,195,1989-04-14,Florida,CB,Joe Haden,Joe Haden,Joe Haden,Joe Haden
117,2539978,73,245,1991-05-05,Florida,ILB,Jon Bostic,Jon Bostic,Jon Bostic,Jon Bostic
118,2540221,73,233,1989-12-27,Florida State,ILB,Vince Williams,Vince Williams,Vince Williams,Vince Williams
119,2552289,76,269,1993-02-12,Kentucky,OLB,Bud Dupree,Bud Dupree,Bud Dupree,Bud Dupree
120,2555344,72,197,1995-05-01,Miami,CB,Artie Burns,Artie Burns,Artie Burns,Artie Burns
121,2555386,73,202,1993-10-23,Maryland,SS,Sean Davis,Sean Davis,Sean Davis,Sean Davis
122,2556559,69,184,1994-03-09,Mississippi,CB,Mike Hilton,Mike Hilton,Mike Hilton,Mike Hilton
123,2558064,76,252,1994-10-11,Wisconsin,OLB,T.J. Watt,T.J. Watt,TJ Watt,T.J. Watt
124,2495240,73,215,1989-08-03,Virginia Tech,QB,Tyrod Taylor,Tyrod Taylor,Tyrod Taylor,Tyrod Taylor
125,2537931,75,225,1991-04-13,Utah,WR,Josh Gordon,Josh Gordon,Josh Gordon,Josh Gordon
126,2540928,79,270,1986-04-22,California-Irvine,TE,Darren Fells,Darren Fells,Darren Fells,Darren Fells
127,2543488,71,196,1992-11-28,Louisiana State,WR,Jarvis Landry,Jarvis Landry,Jarvis Landry,Jarvis Landry
128,2543743,72,229,1990-09-20,Ohio State,RB,Carlos Hyde,Carlos Hyde,Carlos Hyde,Carlos Hyde
129,2557986,76,246,1996-07-10,Miami,TE,David Njoku,David Njoku,David Njoku,David Njoku
130,2552461,69,210,1993-09-23,Miami,RB,Duke Johnson,Duke Johnson Jr,Duke Johnson Jr,Duke Johnson Jr
131,2555468,73,198,1994-10-07,Colorado State,WR,Rashard Higgins,Rashard Higgins,Rashard Higgins,Rashard Higgins
132,2560712,73,217,1997-01-20,Virginia Tech,S,Terrell Edmunds,Terrell Edmunds,Terrell Edmunds,Terrell Edmunds
133,2550235,71,248,1992-03-30,Kent State,FB,Roosevelt Nix,Roosevelt Nix,Roosevelt Nix,Roosevelt Nix
134,2550521,76,261,1992-09-22,Southern California,TE,Xavier Grimble,Xavier Grimble,Xavier Grimble,Xavier Grimble
135,2543720,74,235,1992-08-31,Iowa,OLB,Christian Kirksey,Christian Kirksey,Christian Kirksey,Christian Kirksey
136,2557980,71,213,1995-10-04,Michigan,FS,Jabrill Peppers,Jabrill Peppers,Jabrill Peppers,Jabrill Peppers
137,2560988,71,200,1997-01-09,Florida,WR,Antonio Callaway,Antonio Callaway,Antonio Callaway,Antonio Callaway
138,2552266,75,255,1992-12-10,Miami,OLB,Anthony Chickillo,Anthony Chickillo,Anthony Chickillo,Anthony Chickillo
139,2561021,71,225,1995-12-27,Georgia,RB,Nick Chubb,Nick Chubb,Nick Chubb,Nick Chubb
140,2557960,68,185,1994-11-04,North Carolina,WR,Ryan Switzer,Ryan Switzer,Ryan Switzer,Ryan Switzer
141,2558849,71,188,1995-02-27,Tennessee,CB,Cameron Sutton,Cameron Sutton,Cameron Sutton,Cameron Sutton
142,2556365,6-3,245,1993-01-29,Princeton,TE,Seth DeValve,Seth DeValve,Seth DeValve,Seth DeValve
143,2550164,72,204,1990-07-28,Ohio,CB,T.J. Carrie,T.J. Carrie,TJ Carrie,T.J. Carrie
144,2561470,6-4,207,1994-10-17,Texas Tech,WR,Derrick Willies,Derrick Willies,Derrick Willies,Derrick Willies
145,2533060,74,190,1989-10-26,Alabama,CB,Dre Kirkpatrick,Dre Kirkpatrick,Dre Kirkpatrick,Dre Kirkpatrick
146,2543814,73,255,1992-10-27,Louisville,MLB,Preston Brown,Preston Brown,Preston Brown,Preston Brown
147,2555355,72,205,1993-06-02,Illinois,FS,Clayton Fejedelem,Clayton Fejedelem,Clayton Fejedelem,Clayton Fejedelem
148,2555528,74,235,1993-08-20,Utah State,OLB,Nick Vigil,Nick Vigil,Nick Vigil,Nick Vigil
149,2556367,72,196,1992-10-27,Houston,CB,William Jackson,William Jackson,William Jackson,William Jackson
150,2558801,75,242,1995-01-27,Oklahoma,OLB,Jordan Evans,Jordan Evans,Jordan Evans,Jordan Evans
151,2560970,73,200,1997-02-26,Wake Forest,S,Jessie Bates,Jessie Bates III,Jessie Bates III,Jessie Bates III
152,2532865,70,183,1989-11-14,Florida International,WR,T.Y. Hilton,T.Y. Hilton,TY Hilton,T.Y. Hilton
153,2533031,6-4,240,1989-12-09,Stanford,QB,Andrew Luck,Andrew Luck,Andrew Luck,Andrew Luck
154,2540232,78,262,1990-05-05,Western Kentucky,TE,Jack Doyle,Jack Doyle,Jack Doyle,Jack Doyle
155,2543466,76,253,1993-04-10,North Carolina,TE,Eric Ebron,Eric Ebron,Eric Ebron,Eric Ebron
156,2543759,72,194,1990-12-19,Tulane,WR,Ryan Grant,Ryan Grant,Ryan Grant,Ryan Grant
157,2560933,73,217,1994-07-18,Mississippi,RB,Jordan Wilkins,Jordan Wilkins,Jordan Wilkins,Jordan Wilkins
158,2543474,71,205,1991-10-10,Michigan State,CB,Darqueze Dennard,Darqueze Dennard,Darqueze Dennard,Darqueze Dennard
159,2556396,72,184,1994-01-12,Grambling State,WR,Chester Rogers,Chester Rogers,Chester Rogers,Chester Rogers
160,2558877,74,214,1994-12-18,Old Dominion,WR,Zach Pascal,Zach Pascal,Zach Pascal,Zach Pascal
161,2560742,69,198,1996-11-12,North Carolina State,RB,Nyheim Hines,Nyheim Hines,Nyheim Hines,Nyheim Hines
162,2495143,74,220,1987-10-29,Texas Christian,QB,Andy Dalton,Andy Dalton,Andy Dalton,Andy Dalton
163,2495450,76,210,1988-07-31,Georgia,WR,A.J. Green,A.J. Green,AJ Green,A.J. Green
164,2540148,78,255,1990-09-08,Notre Dame,TE,Tyler Eifert,Tyler Eifert,Tyler Eifert,Tyler Eifert
165,2540156,69,205,1991-11-22,North Carolina,HB,Giovani Bernard,Giovani Bernard,Giovani Bernard,Giovani Bernard
166,2555466,74,203,1994-11-15,Pittsburgh,WR,Tyler Boyd,Tyler Boyd,Tyler Boyd,Tyler Boyd
167,2558010,71,194,1995-11-27,Washington,WR,John Ross,John Ross,John Ross,John Ross
168,2552386,74,216,1992-06-01,Central Florida,FS,Clayton Geathers,Clayton Geathers,Clayton Geathers,Clayton Geathers
169,2556429,71,209,1992-07-15,Notre Dame,SS,Matthias Farley,Matthias Farley,Matthias Farley,Matthias Farley
170,2557961,74,193,1996-08-16,Florida,CB,Quincy Wilson,Quincy Wilson,Quincy Wilson,Quincy Wilson
171,2558108,72,185,1994-06-30,Temple,CB,Nate Hairston,Nate Hairston,Nate Hairston,Nate Hairston
172,2558851,73,230,1995-08-08,Northwestern,ILB,Anthony Walker,Anthony Walker Jr,Anthony Walker Jr,Anthony Walker Jr
173,2558976,69,190,1995-08-23,Valdosta State,CB,Kenny Moore II,Kenny Moore II,Kenny Moore II,Kenny Moore II
174,2560789,74,230,1995-07-27,South Carolina State,LB,Darius Leonard,Darius Leonard,Darius Leonard,Darius Leonard
175,2552586,78,250,1992-10-15,Rutgers,TE,Tyler Kroft,Tyler Kroft,Tyler Kroft,Tyler Kroft
176,2550405,76,255,1992-05-08,Miami,TE,Erik Swoope,Erik Swoope,Erik Swoope,Erik Swoope
177,2552559,78,260,1993-01-14,Auburn,TE,C.J. Uzomah,C.J. Uzomah,CJ Uzomah,C.J. Uzomah
178,2557976,73,220,1996-07-24,Oklahoma,HB,Joe Mixon,Joe Mixon,Joe Mixon,Joe Mixon
179,2558060,73,212,1996-04-02,Ohio State,FS,Malik Hooker,Malik Hooker,Malik Hooker,Malik Hooker
180,2560816,74,225,1995-01-08,South Carolina,ILB,Skai Moore,Skai Moore,Skai Moore,Skai Moore
181,2539233,72,210,1991-05-13,Georgia,SS,Shawn Williams,Shawn Williams,Shawn Williams,Shawn Williams
182,2561155,72,236,1996-07-02,Syracuse,ILB,Zaire Franklin,Zaire Franklin,Zaire Franklin,Zaire Franklin
183,2558982,72,235,1994-01-05,Illinois,MLB,Hardy Nickerson,Hardy Nickerson,Hardy Nickerson,Hardy Nickerson
184,2556493,71,228,1992-10-24,Texas A&M,RB,Tra Carson,Tra Carson,Tra Carson,Tra Carson
185,2533016,72,244,1989-06-04,West Virginia,OLB,Najee Goode,Najee Goode,Najee Goode,Najee Goode
186,2558127,75,205,1996-03-21,Tennessee,WR,Josh Malone,Josh Malone,Josh Malone,Josh Malone
187,2556519,72,195,1992-11-06,Wisconsin,WR,Alex Erickson,Alex Erickson,Alex Erickson,Alex Erickson
188,2354,72,233,1986-07-21,Kentucky,ILB,Wesley Woodyard,Wesley Woodyard,Wesley Woodyard,Wesley Woodyard
189,71423,6-4,257,1986-07-31,Texas,OLB,Brian Orakpo,Brian Orakpo,Brian Orakpo,Brian Orakpo
190,2539320,72,214,1991-02-15,Texas,SS,Kenny Vaccaro,Kenny Vaccaro,Kenny Vaccaro,Kenny Vaccaro
191,2540162,71,195,1991-02-09,Rutgers,CB,Logan Ryan,Logan Ryan,Logan Ryan,Logan Ryan
192,2550613,71,190,1990-03-02,West Alabama,CB,Malcolm Butler,Malcolm Butler,Malcolm Butler,Malcolm Butler
193,2555158,71,212,1993-08-17,Middle Tennessee,FS,Kevin Byard,Kevin Byard,Kevin Byard,Kevin Byard
194,2555320,6-2,242,1993-08-07,UCLA,OLB,Aaron Wallace,Aaron Wallace,Aaron Wallace,Aaron Wallace
195,2558005,72,226,1995-02-26,UCLA,ILB,Jayon Brown,Jayon Brown,Jayon Brown,Jayon Brown
196,2558065,71,185,1995-09-18,Southern California,CB,Adoree' Jackson,Adoree' Jackson,Adoree Jackson,Adoree' Jackson
197,2649,71,185,1985-11-02,Texas Tech,WR,Danny Amendola,Danny Amendola,Danny Amendola,Danny Amendola
198,2532956,76,207,1988-07-27,Texas A&M,QB,Ryan Tannehill,Ryan Tannehill,Ryan Tannehill,Ryan Tannehill
199,2540202,73,202,1992-04-22,Oklahoma,WR,Kenny Stills,Kenny Stills,Kenny Stills,Kenny Stills
200,2555230,73,211,1994-01-26,Alabama,RB,Kenyan Drake,Kenyan Drake,Kenyan Drake,Kenyan Drake
201,2556190,67,169,1992-10-30,Texas Tech,WR,Jakeem Grant,Jakeem Grant,Jakeem Grant,Jakeem Grant
202,2560994,78,252,1995-10-03,Penn State,TE,Mike Gesicki,Mike Gesicki,Mike Gesicki,Mike Gesicki
203,2495469,68,195,1990-09-27,Pittsburgh,RB,Dion Lewis,Dion Lewis,Dion Lewis,Dion Lewis
204,2495966,74,248,1984-08-12,Central Missouri State,TE,Delanie Walker,Delanie Walker,Delanie Walker,Delanie Walker
205,2532903,6-0,217,1989-12-10,Nevada,WR,Rishard Matthews,Rishard Matthews,Rishard Matthews,Rishard Matthews
206,2552466,76,222,1993-10-30,Oregon,QB,Marcus Mariota,Marcus Mariota,Marcus Mariota,Marcus Mariota
207,2555317,74,194,1994-12-23,Massachusetts,WR,Tajae Sharpe,Tajae Sharpe,Tajae Sharpe,Tajae Sharpe
208,2557848,75,209,1995-01-11,Western Michigan,WR,Corey Davis,Corey Davis,Corey Davis,Corey Davis
209,496739,6-1,215,1988-02-25,Georgia,SS,Reshad Jones,Reshad Jones,Reshad Jones,Reshad Jones
210,2539309,6-2,215,1991-01-26,USC,SS,T.J. McDonald,T.J. McDonald Jr,TJ McDonald Jr,T.J. McDonald Jr
211,2539935,75,239,1990-08-14,Oregon,OLB,Kiko Alonso,Kiko Alonso,Kiko Alonso,Kiko Alonso
212,2552434,71,192,1993-08-18,Memphis,CB,Bobby McCain,Bobby McCain,Bobby McCain,Bobby McCain
213,2555539,73,200,1993-07-04,Baylor,CB,Xavien Howard,Xavien Howard,Xavien Howard,Xavien Howard
214,2558070,74,242,1995-11-17,Ohio State,LB,Raekwon McMillan,Raekwon McMillan,Raekwon McMillan,Raekwon McMillan
215,2560725,73,207,1996-11-17,Alabama,S,Minkah Fitzpatrick,Minkah Fitzpatrick,Minkah Fitzpatrick,Minkah Fitzpatrick
216,2555339,75,241,1994-04-27,Boise State,ILB,Kamalei Correa,Kamalei Correa,Kamalei Correa,Kamalei Correa
217,2561328,76,250,1995-10-01,Temple,OLB,Sharif Finch,Sharif Finch,Sharif Finch,Sharif Finch
218,2552580,6-5,240,1991-09-20,Arkansas,TE,A.J. Derby,A.J. Derby,AJ Derby,A.J. Derby
219,2550272,69,195,1992-07-12,Georgia State,WR,Albert Wilson,Albert Wilson,Albert Wilson,Albert Wilson
220,496828,6-4,261,1989-06-01,Georgia Tech,OLB,Derrick Morgan,Derrick Morgan,Derrick Morgan,Derrick Morgan
221,2541539,71,225,1990-11-27,Auburn,ILB,Daren Bates,Daren Bates,Daren Bates,Daren Bates
222,2555551,72,203,1993-09-18,Southern Utah,CB,LeShaun Sims,LeShaun Sims,LeShaun Sims,LeShaun Sims
223,2506404,69,212,1983-05-14,Miami,RB,Frank Gore,Frank Gore,Frank Gore,Frank Gore
224,2540013,73,235,1989-09-19,Nebraska,ILB,Will Compton,Will Compton,Will Compton,Will Compton
225,2560880,78,260,1995-08-09,Notre Dame,TE,Durham Smythe,Durham Smythe,Durham Smythe,Durham Smythe
226,2556075,75,247,1994-01-04,Alabama,RB,Derrick Henry,Derrick Henry,Derrick Henry,Derrick Henry
227,2558207,75,248,1995-08-22,Florida International,TE,Jonnu Smith,Jonnu Smith,Jonnu Smith,Jonnu Smith
228,2495441,77,235,1989-10-15,Missouri,QB,Blaine Gabbert,Blaine Gabbert,Blaine Gabbert,Blaine Gabbert
229,2557870,71,205,1995-03-02,Western Kentucky,WR,Taywan Taylor,Taywan Taylor,Taywan Taylor,Taywan Taylor
