, Signing Bonus , Total Salary ,Acceleration,Age,Agility,Awareness,BC Vision,Block Shedding,Break Sack,Break Tackle,Carrying,Catch,Catch in Traffic,College,Deep Route Running,Elusiveness,Finesse Moves,Handedness,Height,Hit Power,Impact Blocking,Injury,Jersey #,Juke Move,Jumping,Kick Accuracy,Kick Power,Kick Return,Lead Block,Man Coverage,Medium Route Running,Overall,Pass Block,Pass Block Finesse,Pass Block Power,Play Recognition,Playaction,Position,Power Moves,Press,Pursuit,Release,Run Block,Run Block Finesse,Run Block Power,Short Route Runing,Spec. Catch,Speed,Spin Move,Stamina,Stiff Arm,Strength,Tackle,Team,Throw Accuracy Deep,Throw Accuracy Mid,Throw Accuracy Short,Throw Power,Throw Under Pressure,Throw on the Run,Toughness,Trucking,Weight,Years Pro,Zone Coverage,birthDate,collegeName,displayName,height,nflId,nopunctuationname_x,nopunctuationname_y,position,updatedName,updatedName2_x,updatedName2_y,weight
10," $ 1,500,000.00 "," $ 4,545,000.00 ",90,23,87,92,32,72,12,14,56,63,45,LSU,5,29,58,Right,73,84,85,87,45,38,85,19,19,10,25,81,5,90,45,43,44,92,6,MLB,51,51,88,18,45,44,44,15,60,89,32,83,26,73,86,Falcons,6,6,6,25,10,6,78,27,222,2,88,1994-11-04,North Carolina,Ryan Switzer,68,2557960,Ryan Switzer,Deion Jones,WR,Ryan Switzer,Ryan Switzer,Deion Jones,185
11," $ 560,000.00 "," $ 2,923,000.00 ",92,23,93,67,82,32,22,76,66,83,78,North Carolina,72,78,10,Right,70,29,47,92,15,88,80,20,21,86,27,18,78,74,39,19,20,23,41,WR,10,10,42,68,47,22,29,83,82,90,73,95,43,62,33,Raiders,43,47,52,58,35,48,82,42,181,1,25,1994-11-04,North Carolina,Ryan Switzer,68,2557960,Ryan Switzer,Ryan Switzer,WR,Ryan Switzer,Ryan Switzer,Ryan Switzer,185
12, $ -   ," $ 1,710,000.00 ",76,23,68,43,10,69,12,16,30,22,10,Northwestern,2,21,58,Right,75,69,83,86,95,10,68,13,16,12,31,12,3,63,45,45,45,43,5,DT,68,10,77,12,45,45,45,10,12,72,10,75,29,91,78,Packers,5,5,5,29,10,5,85,10,313,0,22,1994-11-04,North Carolina,Ryan Switzer,68,2557960,Ryan Switzer,Tyler Lancaster,WR,Ryan Switzer,Ryan Switzer,Tyler Lancaster,185
13," $ 560,000.00 "," $ 2,860,000.00 ",87,25,87,82,41,68,12,16,45,56,45,Minnesota,5,31,64,Right,76,79,78,90,59,31,83,20,20,10,18,70,9,81,23,45,45,82,6,ROLB,55,44,82,12,29,45,45,18,48,85,28,86,33,73,84,Falcons,6,6,6,24,12,6,85,28,232,2,80,1993-07-01,Minnesota,De'Vondre Campbell,75,2555255,DeVondre Campbell,DeVondre Campbell,OLB,De'Vondre Campbell,De'Vondre Campbell,De'Vondre Campbell,232
14, $ -   ," $ 555,000.00 ",90,25,85,54,58,69,17,41,62,66,60,Cincinnati,10,56,45,Right,73,78,62,92,24,61,80,12,17,35,17,63,11,66,35,35,35,54,6,SS,34,63,79,17,35,35,35,21,57,88,52,88,43,69,74,Seahawks,6,6,6,30,12,6,78,47,207,1,64,1993-07-01,Minnesota,De'Vondre Campbell,75,2555255,DeVondre Campbell,Mike Tyson,OLB,De'Vondre Campbell,De'Vondre Campbell,Mike Tyson,232
15," $ 6,000,000.00 "," $ 10,700,000.00 ",88,23,88,85,59,64,16,46,65,70,43,Florida,29,61,55,Right,72,94,70,90,22,66,89,18,21,76,25,79,34,89,25,33,34,85,6,SS,47,81,92,42,20,33,33,44,45,87,63,91,56,76,77,Falcons,15,15,15,34,15,6,93,48,211,2,85,1995-07-26,Florida,Keanu Neal,73,2555543,Keanu Neal,Keanu Neal,FS,Keanu Neal,Keanu Neal,Keanu Neal,216
16," $ 630,000.00 "," $ 2,993,000.00 ",92,23,95,73,78,22,25,87,79,71,69,N.C. AT,52,88,10,Right,66,24,33,86,29,93,77,22,20,85,35,20,60,83,37,22,26,17,27,HB,10,20,31,66,30,22,25,67,66,92,85,88,63,62,26,Bears,31,36,40,49,11,39,79,65,179,1,28,1995-07-26,Florida,Keanu Neal,73,2555543,Keanu Neal,Tarik Cohen,FS,Keanu Neal,Keanu Neal,Tarik Cohen,216
17," $ 160,000.00 "," $ 2,515,000.00 ",90,23,87,73,72,57,12,54,71,75,72,LA. Tech,10,69,43,Right,71,86,66,93,25,78,81,19,17,70,21,72,14,77,35,35,35,73,6,FS,55,66,80,20,35,35,35,24,69,89,67,89,48,72,72,Cowboys,6,6,6,21,19,6,81,42,205,1,77,1995-07-26,Florida,Keanu Neal,73,2555543,Keanu Neal,Xavier Woods,FS,Keanu Neal,Keanu Neal,Xavier Woods,216
18," $ 110,000.00 "," $ 2,533,411.00 ",86,23,75,59,27,70,12,31,49,53,31,Washington,5,28,51,Right,73,80,70,94,40,29,75,13,17,10,26,51,5,62,45,45,45,59,6,MLB,58,41,79,12,45,45,45,15,29,79,27,88,31,72,79,Broncos,6,6,6,17,12,6,93,19,230,0,58,1995-07-26,Florida,Keanu Neal,73,2555543,Keanu Neal,Keishawn Bierria,FS,Keanu Neal,Keanu Neal,Keishawn Bierria,216
19, $ -   ," $ 1,710,000.00 ",91,23,84,50,31,67,12,20,45,43,24,Vanderbilt,5,25,58,Right,74,76,75,88,53,32,85,13,18,10,17,51,5,60,45,45,45,50,6,LOLB,51,31,74,12,45,45,45,10,25,84,30,85,25,66,75,Falcons,6,6,6,34,10,6,88,33,240,0,60,1995-07-26,Florida,Keanu Neal,73,2555543,Keanu Neal,Emmanuel Smith,FS,Keanu Neal,Keanu Neal,Emmanuel Smith,216
20," $ 6,000,000.00 "," $ 10,700,000.00 ",88,23,88,85,59,64,16,46,65,70,43,Florida,29,61,55,Right,72,94,70,90,22,66,89,18,21,76,25,79,34,89,25,33,34,85,6,SS,47,81,92,42,20,33,33,44,45,87,63,91,56,76,77,Falcons,15,15,15,34,15,6,93,48,211,2,85,1995-07-26,North Carolina A&T,Tarik Cohen,66,2558250,Tarik Cohen,Keanu Neal,RB,Tarik Cohen,Tarik Cohen,Keanu Neal,191
21," $ 630,000.00 "," $ 2,993,000.00 ",92,23,95,73,78,22,25,87,79,71,69,N.C. AT,52,88,10,Right,66,24,33,86,29,93,77,22,20,85,35,20,60,83,37,22,26,17,27,HB,10,20,31,66,30,22,25,67,66,92,85,88,63,62,26,Bears,31,36,40,49,11,39,79,65,179,1,28,1995-07-26,North Carolina A&T,Tarik Cohen,66,2558250,Tarik Cohen,Tarik Cohen,RB,Tarik Cohen,Tarik Cohen,Tarik Cohen,191
22," $ 160,000.00 "," $ 2,515,000.00 ",90,23,87,73,72,57,12,54,71,75,72,LA. Tech,10,69,43,Right,71,86,66,93,25,78,81,19,17,70,21,72,14,77,35,35,35,73,6,FS,55,66,80,20,35,35,35,24,69,89,67,89,48,72,72,Cowboys,6,6,6,21,19,6,81,42,205,1,77,1995-07-26,North Carolina A&T,Tarik Cohen,66,2558250,Tarik Cohen,Xavier Woods,RB,Tarik Cohen,Tarik Cohen,Xavier Woods,191
23," $ 110,000.00 "," $ 2,533,411.00 ",86,23,75,59,27,70,12,31,49,53,31,Washington,5,28,51,Right,73,80,70,94,40,29,75,13,17,10,26,51,5,62,45,45,45,59,6,MLB,58,41,79,12,45,45,45,15,29,79,27,88,31,72,79,Broncos,6,6,6,17,12,6,93,19,230,0,58,1995-07-26,North Carolina A&T,Tarik Cohen,66,2558250,Tarik Cohen,Keishawn Bierria,RB,Tarik Cohen,Tarik Cohen,Keishawn Bierria,191
24, $ -   ," $ 1,710,000.00 ",91,23,84,50,31,67,12,20,45,43,24,Vanderbilt,5,25,58,Right,74,76,75,88,53,32,85,13,18,10,17,51,5,60,45,45,45,50,6,LOLB,51,31,74,12,45,45,45,10,25,84,30,85,25,66,75,Falcons,6,6,6,34,10,6,88,33,240,0,60,1995-07-26,North Carolina A&T,Tarik Cohen,66,2558250,Tarik Cohen,Emmanuel Smith,RB,Tarik Cohen,Tarik Cohen,Emmanuel Smith,191
25," $ 6,000,000.00 "," $ 10,700,000.00 ",88,23,88,85,59,64,16,46,65,70,43,Florida,29,61,55,Right,72,94,70,90,22,66,89,18,21,76,25,79,34,89,25,33,34,85,6,SS,47,81,92,42,20,33,33,44,45,87,63,91,56,76,77,Falcons,15,15,15,34,15,6,93,48,211,2,85,1995-07-26,Louisiana Tech,Xavier Woods,71,2558159,Xavier Woods,Keanu Neal,FS,Xavier Woods,Xavier Woods,Keanu Neal,202
26," $ 630,000.00 "," $ 2,993,000.00 ",92,23,95,73,78,22,25,87,79,71,69,N.C. AT,52,88,10,Right,66,24,33,86,29,93,77,22,20,85,35,20,60,83,37,22,26,17,27,HB,10,20,31,66,30,22,25,67,66,92,85,88,63,62,26,Bears,31,36,40,49,11,39,79,65,179,1,28,1995-07-26,Louisiana Tech,Xavier Woods,71,2558159,Xavier Woods,Tarik Cohen,FS,Xavier Woods,Xavier Woods,Tarik Cohen,202
27," $ 160,000.00 "," $ 2,515,000.00 ",90,23,87,73,72,57,12,54,71,75,72,LA. Tech,10,69,43,Right,71,86,66,93,25,78,81,19,17,70,21,72,14,77,35,35,35,73,6,FS,55,66,80,20,35,35,35,24,69,89,67,89,48,72,72,Cowboys,6,6,6,21,19,6,81,42,205,1,77,1995-07-26,Louisiana Tech,Xavier Woods,71,2558159,Xavier Woods,Xavier Woods,FS,Xavier Woods,Xavier Woods,Xavier Woods,202
28," $ 110,000.00 "," $ 2,533,411.00 ",86,23,75,59,27,70,12,31,49,53,31,Washington,5,28,51,Right,73,80,70,94,40,29,75,13,17,10,26,51,5,62,45,45,45,59,6,MLB,58,41,79,12,45,45,45,15,29,79,27,88,31,72,79,Broncos,6,6,6,17,12,6,93,19,230,0,58,1995-07-26,Louisiana Tech,Xavier Woods,71,2558159,Xavier Woods,Keishawn Bierria,FS,Xavier Woods,Xavier Woods,Keishawn Bierria,202
29, $ -   ," $ 1,710,000.00 ",91,23,84,50,31,67,12,20,45,43,24,Vanderbilt,5,25,58,Right,74,76,75,88,53,32,85,13,18,10,17,51,5,60,45,45,45,50,6,LOLB,51,31,74,12,45,45,45,10,25,84,30,85,25,66,75,Falcons,6,6,6,34,10,6,88,33,240,0,60,1995-07-26,Louisiana Tech,Xavier Woods,71,2558159,Xavier Woods,Emmanuel Smith,FS,Xavier Woods,Xavier Woods,Emmanuel Smith,202
30," $ 6,000,000.00 "," $ 10,700,000.00 ",88,23,88,85,59,64,16,46,65,70,43,Florida,29,61,55,Right,72,94,70,90,22,66,89,18,21,76,25,79,34,89,25,33,34,85,6,SS,47,81,92,42,20,33,33,44,45,87,63,91,56,76,77,Falcons,15,15,15,34,15,6,93,48,211,2,85,1995-07-26,Washington,Keishawn Bierria,6-1,2560976,Keishawn Bierria,Keanu Neal,LB,Keishawn Bierria,Keishawn Bierria,Keanu Neal,223
31," $ 630,000.00 "," $ 2,993,000.00 ",92,23,95,73,78,22,25,87,79,71,69,N.C. AT,52,88,10,Right,66,24,33,86,29,93,77,22,20,85,35,20,60,83,37,22,26,17,27,HB,10,20,31,66,30,22,25,67,66,92,85,88,63,62,26,Bears,31,36,40,49,11,39,79,65,179,1,28,1995-07-26,Washington,Keishawn Bierria,6-1,2560976,Keishawn Bierria,Tarik Cohen,LB,Keishawn Bierria,Keishawn Bierria,Tarik Cohen,223
32," $ 160,000.00 "," $ 2,515,000.00 ",90,23,87,73,72,57,12,54,71,75,72,LA. Tech,10,69,43,Right,71,86,66,93,25,78,81,19,17,70,21,72,14,77,35,35,35,73,6,FS,55,66,80,20,35,35,35,24,69,89,67,89,48,72,72,Cowboys,6,6,6,21,19,6,81,42,205,1,77,1995-07-26,Washington,Keishawn Bierria,6-1,2560976,Keishawn Bierria,Xavier Woods,LB,Keishawn Bierria,Keishawn Bierria,Xavier Woods,223
33," $ 110,000.00 "," $ 2,533,411.00 ",86,23,75,59,27,70,12,31,49,53,31,Washington,5,28,51,Right,73,80,70,94,40,29,75,13,17,10,26,51,5,62,45,45,45,59,6,MLB,58,41,79,12,45,45,45,15,29,79,27,88,31,72,79,Broncos,6,6,6,17,12,6,93,19,230,0,58,1995-07-26,Washington,Keishawn Bierria,6-1,2560976,Keishawn Bierria,Keishawn Bierria,LB,Keishawn Bierria,Keishawn Bierria,Keishawn Bierria,223
34, $ -   ," $ 1,710,000.00 ",91,23,84,50,31,67,12,20,45,43,24,Vanderbilt,5,25,58,Right,74,76,75,88,53,32,85,13,18,10,17,51,5,60,45,45,45,50,6,LOLB,51,31,74,12,45,45,45,10,25,84,30,85,25,66,75,Falcons,6,6,6,34,10,6,88,33,240,0,60,1995-07-26,Washington,Keishawn Bierria,6-1,2560976,Keishawn Bierria,Emmanuel Smith,LB,Keishawn Bierria,Keishawn Bierria,Emmanuel Smith,223
35, $ -   ," $ 1,620,000.00 ",92,25,86,81,35,57,10,45,62,68,45,Florida,10,55,62,Right,70,78,60,86,34,65,71,22,17,30,20,81,15,79,35,35,35,81,6,CB,67,79,72,34,35,35,35,25,60,89,64,90,49,68,66,Falcons,6,6,6,18,16,6,78,45,211,2,82,1992-10-20,Florida,Brian Poole,70,2556445,Brian Poole,Brian Poole,CB,Brian Poole,Brian Poole,Brian Poole,211
36," $ 150,000.00 "," $ 1,181,000.00 ",91,25,84,84,83,42,19,77,85,66,69,LSU,40,75,10,Right,73,12,45,92,33,83,80,22,20,25,47,15,48,76,45,24,29,21,15,HB,10,10,44,69,50,40,44,55,59,88,78,82,86,79,45,Patriots,20,30,35,32,12,15,84,83,235,4,13,1992-10-20,Florida,Brian Poole,70,2556445,Brian Poole,Jeremy Hill,CB,Brian Poole,Brian Poole,Jeremy Hill,211
37, $ -   ," $ 630,000.00 ",84,25,77,68,76,21,79,48,72,42,20,Stanford,15,52,9,Right,75,11,30,91,8,67,74,20,24,19,20,12,17,69,21,18,14,21,76,QB,9,9,28,19,27,10,10,18,20,80,48,93,56,68,39,Redskins,73,76,81,86,73,81,95,63,218,2,18,1992-10-20,Florida,Brian Poole,70,2556445,Brian Poole,Kevin Hogan,CB,Brian Poole,Brian Poole,Kevin Hogan,211
38, $ -   ," $ 1,620,000.00 ",92,25,86,81,35,57,10,45,62,68,45,Florida,10,55,62,Right,70,78,60,86,34,65,71,22,17,30,20,81,15,79,35,35,35,81,6,CB,67,79,72,34,35,35,35,25,60,89,64,90,49,68,66,Falcons,6,6,6,18,16,6,78,45,211,2,82,1992-10-20,LSU,Jeremy Hill,73,2543603,Jeremy Hill,Brian Poole,RB,Jeremy Hill,Jeremy Hill,Brian Poole,230
39," $ 150,000.00 "," $ 1,181,000.00 ",91,25,84,84,83,42,19,77,85,66,69,LSU,40,75,10,Right,73,12,45,92,33,83,80,22,20,25,47,15,48,76,45,24,29,21,15,HB,10,10,44,69,50,40,44,55,59,88,78,82,86,79,45,Patriots,20,30,35,32,12,15,84,83,235,4,13,1992-10-20,LSU,Jeremy Hill,73,2543603,Jeremy Hill,Jeremy Hill,RB,Jeremy Hill,Jeremy Hill,Jeremy Hill,230
40, $ -   ," $ 630,000.00 ",84,25,77,68,76,21,79,48,72,42,20,Stanford,15,52,9,Right,75,11,30,91,8,67,74,20,24,19,20,12,17,69,21,18,14,21,76,QB,9,9,28,19,27,10,10,18,20,80,48,93,56,68,39,Redskins,73,76,81,86,73,81,95,63,218,2,18,1992-10-20,LSU,Jeremy Hill,73,2543603,Jeremy Hill,Kevin Hogan,RB,Jeremy Hill,Jeremy Hill,Kevin Hogan,230
41," $ 2,100,000.00 "," $ 27,000,000.00 ",75,29,64,87,28,25,71,40,63,32,22,Arizona,10,28,10,Right,78,12,30,85,9,33,79,25,25,10,20,15,11,80,11,15,25,15,77,QB,10,10,30,12,17,20,30,18,18,70,30,90,39,66,25,Eagles,79,81,86,90,90,83,77,29,243,6,20,1989-01-20,Arizona,Nick Foles,78,2532842,Nick Foles,Nick Foles,QB,Nick Foles,Nick Foles,Nick Foles,243
42," $ 7,250,000.00 "," $ 24,040,000.00 ",87,27,82,97,83,44,25,66,80,95,88,Stanford,79,64,10,Right,77,12,69,86,86,75,79,22,22,35,54,19,88,91,58,53,57,17,6,TE,10,10,36,82,53,52,49,92,90,80,73,90,69,73,36,Eagles,6,10,15,42,15,10,84,69,250,5,18,1990-11-10,Stanford,Zach Ertz,77,2540158,Zach Ertz,Zach Ertz,TE,Zach Ertz,Zach Ertz,Zach Ertz,250
43," $ 380,000.00 "," $ 2,000,000.00 ",90,25,91,91,89,31,21,90,88,67,63,Boise State,47,85,17,Right,72,45,40,79,26,90,88,43,47,55,42,10,55,86,46,24,30,10,5,HB,20,15,45,60,45,34,35,61,63,88,80,82,87,79,39,Eagles,10,10,10,34,17,5,85,85,223,3,20,1993-06-15,Boise State,Jay Ajayi,6-0,2552582,Jay Ajayi,Jay Ajayi,RB,Jay Ajayi,Jay Ajayi,Jay Ajayi,223
44," $ 380,000.00 "," $ 2,000,000.00 ",88,25,83,71,80,22,62,69,56,40,10,UCLA,12,68,5,Right,75,7,22,90,7,76,84,21,21,5,12,9,14,70,10,11,11,12,80,QB,5,5,35,15,12,11,11,15,20,85,67,89,55,63,22,Packers,73,76,84,91,76,78,84,56,226,3,12,1993-06-15,Boise State,Jay Ajayi,6-0,2552582,Jay Ajayi,Brett Hundley,RB,Jay Ajayi,Jay Ajayi,Brett Hundley,223
45," $ 380,000.00 "," $ 2,000,000.00 ",90,25,91,91,89,31,21,90,88,67,63,Boise State,47,85,17,Right,72,45,40,79,26,90,88,43,47,55,42,10,55,86,46,24,30,10,5,HB,20,15,45,60,45,34,35,61,63,88,80,82,87,79,39,Eagles,10,10,10,34,17,5,85,85,223,3,20,1993-06-15,Eastern Washington,Cooper Kupp,74,2557898,Cooper Kupp,Jay Ajayi,WR,Cooper Kupp,Cooper Kupp,Jay Ajayi,208
46," $ 380,000.00 "," $ 2,000,000.00 ",88,25,83,71,80,22,62,69,56,40,10,UCLA,12,68,5,Right,75,7,22,90,7,76,84,21,21,5,12,9,14,70,10,11,11,12,80,QB,5,5,35,15,12,11,11,15,20,85,67,89,55,63,22,Packers,73,76,84,91,76,78,84,56,226,3,12,1993-06-15,Eastern Washington,Cooper Kupp,74,2557898,Cooper Kupp,Brett Hundley,WR,Cooper Kupp,Cooper Kupp,Brett Hundley,208
47," $ 1,260,000.00 "," $ 11,100,733.00 ",90,25,93,90,85,25,27,84,71,89,85,USC,85,85,10,Right,72,15,40,90,13,87,87,31,41,80,20,18,86,84,24,10,10,24,6,WR,10,10,26,76,54,30,36,87,86,91,85,91,58,66,21,Eagles,6,10,15,25,20,10,78,51,198,3,22,1993-05-24,Southern California,Nelson Agholor,72,2552600,Nelson Agholor,Nelson Agholor,WR,Nelson Agholor,Nelson Agholor,Nelson Agholor,198
48, $ -   ," $ 555,000.00 ",93,25,93,65,77,28,22,77,70,79,76,Washington,73,78,11,Right,70,22,47,86,17,82,92,22,23,68,27,16,68,70,38,19,21,21,24,WR,11,16,37,66,39,12,22,72,75,92,76,88,46,65,26,Falcons,30,36,41,47,22,31,74,37,190,2,24,1993-04-10,Sacramento State,DeAndre Carter,68,2553502,DeAndre Carter,Marvin Hall,WR,DeAndre Carter,DeAndre Carter,Marvin Hall,190
49, $ -   ," $ 1,620,000.00 ",90,25,84,64,51,44,15,29,64,67,42,Utah State,10,44,51,Right,71,70,55,92,25,66,97,21,21,50,10,59,10,67,35,35,35,64,6,SS,54,70,66,15,35,35,35,20,45,90,67,88,55,75,64,Packers,6,6,6,22,12,6,75,45,211,2,64,1993-04-10,Sacramento State,DeAndre Carter,68,2553502,DeAndre Carter,Marwin Evans,WR,DeAndre Carter,DeAndre Carter,Marwin Evans,190
50, $ -   ," $ 555,000.00 ",93,25,93,65,77,28,22,77,70,79,76,Washington,73,78,11,Right,70,22,47,86,17,82,92,22,23,68,27,16,68,70,38,19,21,21,24,WR,11,16,37,66,39,12,22,72,75,92,76,88,46,65,26,Falcons,30,36,41,47,22,31,74,37,190,2,24,1993-04-10,Washington,Marvin Hall,70,2557034,Marvin Hall,Marvin Hall,WR,Marvin Hall,Marvin Hall,Marvin Hall,190
51, $ -   ," $ 1,620,000.00 ",90,25,84,64,51,44,15,29,64,67,42,Utah State,10,44,51,Right,71,70,55,92,25,66,97,21,21,50,10,59,10,67,35,35,35,64,6,SS,54,70,66,15,35,35,35,20,45,90,67,88,55,75,64,Packers,6,6,6,22,12,6,75,45,211,2,64,1993-04-10,Washington,Marvin Hall,70,2557034,Marvin Hall,Marwin Evans,WR,Marvin Hall,Marvin Hall,Marwin Evans,190
52, $ -   ," $ 555,000.00 ",93,25,93,65,77,28,22,77,70,79,76,Washington,73,78,11,Right,70,22,47,86,17,82,92,22,23,68,27,16,68,70,38,19,21,21,24,WR,11,16,37,66,39,12,22,72,75,92,76,88,46,65,26,Falcons,30,36,41,47,22,31,74,37,190,2,24,1993-04-10,North Carolina,Eric Ebron,76,2543466,Eric Ebron,Marvin Hall,TE,Eric Ebron,Eric Ebron,Marvin Hall,253
53, $ -   ," $ 1,620,000.00 ",90,25,84,64,51,44,15,29,64,67,42,Utah State,10,44,51,Right,71,70,55,92,25,66,97,21,21,50,10,59,10,67,35,35,35,64,6,SS,54,70,66,15,35,35,35,20,45,90,67,88,55,75,64,Packers,6,6,6,22,12,6,75,45,211,2,64,1993-04-10,North Carolina,Eric Ebron,76,2543466,Eric Ebron,Marwin Evans,TE,Eric Ebron,Eric Ebron,Marwin Evans,253
54," $ 2,200,000.00 "," $ 14,905,000.00 ",89,26,87,78,35,77,12,19,45,58,25,Clemson,15,29,78,Right,75,85,84,90,44,40,92,30,37,10,14,57,15,82,45,45,45,78,6,LE,69,40,84,35,45,45,45,15,30,88,49,83,45,84,78,Falcons,6,6,6,20,14,6,73,39,246,3,64,1992-07-08,Clemson,Vic Beasley,75,2552301,Vic Beasley Jr,Vic Beasley Jr,DE,Vic Beasley Jr,Vic Beasley Jr,Vic Beasley Jr,246
